序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
1718,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,35,臺中市,中區,0,0,0,7,1,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,13,7,,,,,C03,,,1,,1,,,7,,1,13,4,C03,120.678416,24.141446,3
1719,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,35,臺中市,新社區,0,0,0,7,,,50,,,,,,,,,,,,,,,45,,,,,B12,,,1,,2,,,45,,1,12,4,B12,120.806686,24.238265,3
1720,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,42,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,14,49,,,,,B03,,,1,,1,,,49,,1,13,4,B03,120.653107,24.146915,3
1721,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,43,臺中市,豐原區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,5,5,2,13,59,2,9,5,4,C03,7,9,1,10,2,11,,59,59,1,12,4,C03,120.723061,24.254219,2
1722,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,46,臺中市,霧峰區,0,0,0,7,,,60,,,,,,,,,,,,,,23,59,,,,,B03,,,1,,2,,,59,,1,6,4,B03,120.694464,24.052042,3
1723,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,46,臺中市,龍井區,0,2,0,7,2,6,50,11,9,1,5,4,6,6,4,4,5,5,5,1,11,58,2,8,5,4,C03,7,9,1,10,2,11,,58,58,1,13,4,C03,120.569021,24.178472,2
1724,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,48,臺中市,豐原區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,17,20,3,10,3,1,B03,7,6,1,8,2,1,,20,20,1,13,4,B03,120.718799,24.252518,2
1725,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,49,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,14,49,,,,,B12,,,1,,2,,,49,,1,12,4,B12,120.714102,24.133201,3
1726,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,57,臺中市,南屯區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,17,48,3,10,3,1,B03,7,6,1,8,2,2,,48,48,1,13,4,B03,120.634647,24.154508,2
1727,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,58,臺中市,西屯區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,2,1,10,5,5,2,18,84,2,9,2,1,C03,7,5,1,10,2,12,,84,84,1,6,4,C03,120.646283,24.185107,2
1728,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,58,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,,20,,,,,B03,,,1,,1,,,20,20,1,12,4,B03,120.559575,24.267186,3
1729,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,15,59,臺中市,豐原區,0,0,0,7,1,6,60,4,1,1,5,4,6,6,2,1,1,3,1,1,16,87,3,10,5,4,C03,7,9,1,10,2,14,,87,87,1,13,5,C03,120.707115,24.237113,3
1730,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,1,臺中市,清水區,0,1,0,7,3,9,50,13,14,1,5,4,6,6,4,4,5,4,5,1,12,20,3,10,3,1,B13,7,7,1,8,2,5,,20,20,1,12,4,B13,120.571456,24.276945,2
1731,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,1,臺中市,清水區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,1,1,1,4,4,2,17,20,3,10,3,1,B03,7,6,1,8,2,2,,20,20,1,12,4,B03,120.575301,24.268443,2
1732,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,5,臺中市,西屯區,0,2,0,7,3,6,40,13,7,1,5,4,6,6,4,4,5,5,4,2,16,87,2,8,5,4,C03,7,9,1,10,2,11,,87,87,1,12,4,C03,120.627302,24.184046,2
1733,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,5,臺中市,沙鹿區,0,2,0,7,2,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,12,2,9,2,1,C03,7,9,1,10,2,13,,12,12,1,12,4,C03,120.568673,24.230558,2
1734,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,11,臺中市,南屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,3,2,5,2,17,84,3,10,5,4,B03,7,5,1,8,2,5,,84,84,1,13,4,B03,120.637876,24.148751,2
1735,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,12,臺中市,潭子區,0,0,0,7,,,40,,,,,,,,,,,,,,13,7,,,,,B03,,,1,,2,,,7,,1,13,4,B03,120.696555,24.201,3
1736,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,13,臺中市,南屯區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,4,4,2,17,45,2,9,1,1,C03,7,11,1,10,2,12,,45,45,1,6,2,C03,120.615413,24.148834,2
1737,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,13,臺中市,新社區,0,0,0,7,,,50,,,,,,,,,,,,,,9,46,,,,,F03,,,7,,2,,,46,,1,12,4,F03,120.808985,24.250013,3
1738,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,14,臺中市,北區,0,3,0,7,2,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,15,15,2,7,2,1,C03,7,9,1,10,2,11,,15,15,1,12,4,C03,120.685689,24.148235,2
1739,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,14,臺中市,太平區,0,1,0,7,2,6,50,3,2,1,5,4,6,6,1,1,5,5,4,2,17,59,2,9,1,1,C03,7,6,1,10,2,11,,59,59,1,6,4,C03,120.718461,24.104337,2
1740,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,18,臺中市,沙鹿區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,15,12,2,9,2,1,C03,7,9,1,10,2,11,,12,12,1,12,4,C03,120.558464,24.236745,2
1741,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,20,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,12,59,,,,,B12,,,1,,2,,,59,,1,12,4,B12,120.693367,24.142338,3
1742,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,23,臺中市,北區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,11,3,10,3,1,B03,7,6,3,19,2,2,,11,11,1,13,4,B03,120.686245,24.153546,2
1743,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,26,臺中市,北區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,5,5,5,2,13,7,2,8,2,1,C03,7,9,1,10,2,11,,7,7,1,12,4,C03,120.679966,24.162541,2
1744,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,26,臺中市,南屯區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,14,49,3,10,3,1,B03,7,2,1,8,2,3,,49,49,1,13,4,B03,120.625175,24.115458,2
1745,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,27,臺中市,西屯區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,84,2,9,2,4,C03,7,9,1,10,2,12,,84,84,1,13,4,C03,120.659481,24.175598,2
1746,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,33,臺中市,南區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,9,5,5,2,13,7,3,10,3,1,B03,7,9,1,8,2,1,,7,7,1,6,4,B03,120.668653,24.114819,2
1747,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,33,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,7,,,,,C03,,,1,,1,,,7,,1,13,4,C03,120.711026,24.179779,3
1748,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,33,臺中市,西屯區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,45,3,10,3,1,B03,7,11,1,8,2,4,,45,44,1,13,4,B03,120.615984,24.177718,2
1749,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,33,臺中市,豐原區,0,0,0,7,,,30,,,,,,,,,,,,,,11,87,,,,,B03,,,1,,2,,,87,,1,12,4,B03,120.723319,24.275677,3
1750,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,34,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,13,4,B03,120.693536,24.248223,3
1751,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,35,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,84,,,,,B03,,,5,,2,,,84,,1,13,4,B03,120.632316,24.170763,3
1752,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,40,臺中市,東區,0,1,0,7,3,6,50,4,24,1,5,4,6,6,4,4,5,5,4,2,17,84,3,10,3,1,B03,7,1,1,8,2,8,,84,84,1,13,4,B03,120.704083,24.144518,2
1753,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,40,臺中市,南區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,4,4,9,4,5,2,16,48,3,10,3,1,B01,7,6,1,2,2,2,,48,48,1,12,4,B01,120.647398,24.109898,2
1754,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,40,臺中市,北屯區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,13,84,2,9,1,1,C03,7,9,1,10,2,11,,84,84,1,12,4,C03,120.682118,24.185445,2
1755,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,40,臺中市,大甲區,0,2,0,7,2,6,30,3,9,1,5,4,6,6,4,4,5,5,4,2,16,34,2,7,1,1,C03,7,6,3,19,2,12,,34,34,1,12,4,C03,120.622308,24.344285,2
1756,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,41,臺中市,西區,0,0,0,8,,,40,,,,,,,,,,,,,,13,84,,,,,C03,,,5,,1,,,84,,1,12,4,C03,120.664161,24.136544,4
1757,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,43,臺中市,西屯區,0,2,0,7,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,15,2,9,1,1,C03,7,9,1,10,2,11,,15,15,1,13,4,C03,120.65103,24.166878,2
1758,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,44,臺中市,西區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,16,83,3,10,3,1,B03,7,6,3,19,2,8,,83,83,1,13,4,B03,120.66718,24.14209,2
1759,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,45,臺中市,西區,0,0,0,8,,,60,,,,,,,,,,,,,,,84,,,,,A02,,,1,,1,,,84,,1,12,4,A02,,,4
1760,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,45,臺中市,豐原區,0,3,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,17,34,2,9,5,4,C03,7,9,2,19,2,12,,34,34,1,12,4,C03,120.719963,24.250008,2
1761,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,47,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,59,,,,,B03,,,1,,2,,,59,,1,13,5,B03,120.653577,24.144825,3
1762,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,48,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,,84,,,,,B03,,,1,,2,,,77,84,1,12,4,B03,120.679954,24.157503,3
1763,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,50,臺中市,太平區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,1,2,9,2,1,C03,7,4,1,10,2,11,,1,1,1,13,4,C03,120.715352,24.135792,2
1764,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,53,臺中市,大雅區,0,2,0,7,1,6,30,13,8,1,5,4,6,6,4,4,1,4,5,1,17,51,2,7,6,1,F01,7,1,7,21,11,11,,51,51,1,13,4,F01,120.659316,24.231561,2
1765,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,54,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,50,,,,,B03,,,1,,2,,,50,,1,13,4,B03,120.653031,24.139442,3
1766,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,55,臺中市,西屯區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,11,3,10,5,4,B03,7,6,1,8,2,5,,11,11,1,13,4,B03,120.63453,24.176267,2
1767,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,16,55,臺中市,大甲區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,21,3,10,4,1,F03,7,9,7,21,2,12,,21,21,1,12,4,F03,120.64463,24.385256,2
1768,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,0,臺中市,烏日區,0,2,0,7,3,6,60,13,9,1,5,4,6,6,4,4,1,4,5,1,17,40,2,9,1,1,C03,7,9,1,10,2,11,12,87,40,1,6,4,C03,120.623727,24.104238,2
1769,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,3,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,49,,,,,B03,,,3,,2,,,49,,1,13,4,B03,120.668996,24.173765,3
1770,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,6,臺中市,東區,0,1,0,7,3,6,50,4,1,1,5,4,3,6,4,4,10,5,5,2,15,15,3,10,3,1,B01,7,9,1,4,2,1,,15,15,1,12,4,B01,120.706702,24.141127,2
1771,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,6,臺中市,后里區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,11,3,10,3,1,B03,7,6,1,8,2,8,,11,11,1,12,4,B03,120.71108,24.306075,2
1772,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,8,臺中市,西屯區,0,0,0,8,,,30,,,,,,,,,,,,,,16,15,,,,,B12,,,1,,2,,,15,15,2,6,4,B12,120.62145,24.168928,3
1773,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,11,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,13,7,,,,,B03,,,1,,1,,,7,,1,12,4,B03,120.669481,24.14436,3
1774,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,13,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,17,84,,,,,B02,,,1,,2,,,84,,1,12,4,B02,120.662168,24.152688,3
1775,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,14,臺中市,東區,0,2,0,7,3,6,50,4,2,1,5,4,6,6,2,1,3,5,5,2,13,7,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,C03,120.685253,24.129665,2
1776,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,15,臺中市,南屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,17,7,2,9,1,1,C03,7,9,1,10,1,11,,7,7,1,13,4,C03,120.646721,24.138526,2
1777,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,15,臺中市,烏日區,0,1,0,7,1,6,50,3,2,1,5,4,6,6,4,4,1,4,4,1,17,8,2,9,1,1,C03,7,9,1,10,2,14,,8,8,1,11,4,C03,120.623727,24.104238,2
1778,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,16,臺中市,大里區,0,1,0,7,3,6,50,4,2,1,5,4,6,6,3,1,5,5,5,2,16,11,3,10,5,4,B12,7,5,1,8,2,2,,11,11,1,13,4,B12,120.671689,24.085724,2
1779,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,17,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,7,,,,,C03,,,1,,2,,,7,,1,12,4,C03,120.698253,24.132973,3
1780,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,17,臺中市,南屯區,0,2,0,7,3,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,12,2,9,2,1,C03,7,6,1,11,2,11,,12,12,1,13,4,C03,120.635946,24.131095,2
1781,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,18,臺中市,太平區,0,2,0,7,1,6,50,13,9,1,5,4,6,6,4,4,4,1,5,1,17,26,2,9,1,1,C03,7,11,1,10,2,14,12,26,26,1,12,4,C03,120.715612,24.14771,2
1782,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,20,臺中市,大雅區,0,0,0,7,,,70,,,,,,,,,,,,,,,11,,,,,C03,,,1,,2,,,11,,1,13,4,C03,120.630164,24.240851,4
1783,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,20,臺中市,潭子區,0,1,0,7,2,6,50,13,7,1,5,4,6,6,4,4,1,4,4,1,12,40,3,10,2,1,C03,7,8,1,10,2,14,,40,40,1,12,4,C03,120.689655,24.220994,2
1784,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,20,臺中市,中區,0,0,0,8,,,50,,,,,,,,,,,,,,14,49,,,,,B03,,,1,,2,,,49,,1,13,4,B03,120.680426,24.138885,3
1785,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,20,臺中市,東勢區,0,0,0,8,3,6,70,,,1,5,4,6,6,4,4,1,5,5,1,13,59,,,,,B03,,,1,,1,,,59,,1,12,4,B03,120.823435,24.260016,3
1786,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,23,臺中市,北屯區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,16,42,3,10,3,1,B03,7,5,1,8,2,2,,42,42,1,12,4,B03,120.70086,24.179455,2
1787,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,26,臺中市,南區,0,1,0,7,3,6,50,13,24,1,5,4,6,6,4,4,3,4,4,2,18,84,2,9,1,1,C03,7,9,1,10,2,15,,84,84,1,13,4,C03,120.647321,24.119166,2
1788,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,28,臺中市,沙鹿區,0,0,0,7,,,50,,,,,,,,,,,,,,13,8,,,,,B03,,,1,,2,,,8,,1,6,4,B03,120.567419,24.236799,3
1789,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,30,臺中市,太平區,0,2,0,7,2,6,50,13,7,1,5,4,6,6,4,4,5,5,4,1,16,45,2,9,1,1,C03,7,9,1,10,2,11,,87,45,1,13,4,C03,120.718067,24.148809,2
1790,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,31,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,84,,,,,B03,,,1,,1,,,84,,1,12,5,B03,120.644912,24.140091,3
1791,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,31,臺中市,西屯區,0,2,0,7,3,6,80,13,7,1,5,4,6,6,4,4,1,4,5,2,13,59,3,10,3,4,B03,7,9,1,8,1,1,,59,59,1,13,4,B03,120.634948,24.179291,2
1792,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,31,臺中市,大肚區,0,0,0,7,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,13,4,B03,120.580987,24.173807,3
1793,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,33,臺中市,西區,0,2,0,7,3,6,50,4,2,1,5,4,6,6,1,1,3,4,4,2,16,22,2,9,1,1,F03,7,5,7,21,2,13,,22,22,1,12,4,F03,120.657556,24.1493,2
1794,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,35,臺中市,沙鹿區,0,0,0,7,,,50,,,,,,,,,,,,,,17,51,,,,,B03,,,3,,1,,,51,,1,12,4,B03,120.565817,24.23562,3
1795,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,40,臺中市,大里區,0,0,0,8,,,30,,,,,,,,,,,,,,,8,,,,,B03,,,1,,1,,,8,,1,12,4,B03,120.688212,24.124362,3
1796,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,40,臺中市,沙鹿區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,24,2,9,2,1,C03,7,9,1,10,2,11,,24,24,1,12,4,C03,120.564279,24.236543,2
1797,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,40,臺中市,后里區,0,2,0,7,2,6,30,4,2,1,5,4,6,6,4,4,4,4,5,1,17,6,2,9,1,1,C03,7,9,1,10,2,14,,6,6,1,12,4,C03,120.706233,24.308163,2
1798,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,42,臺中市,南區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,3,4,5,2,17,84,2,9,2,1,C03,7,15,1,10,2,14,,84,84,1,12,4,C03,120.649907,24.120767,2
1799,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,43,臺中市,西屯區,0,0,0,7,,,40,,,,,,,,,,,,,,,58,,,,,C03,,,1,,1,,,58,,1,13,4,C03,120.635385,24.182288,3
1800,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,44,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,13,59,,,,,B03,,,1,,1,,,59,,1,12,4,B03,120.676945,24.163912,3
1801,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,44,臺中市,西屯區,0,1,0,7,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,17,85,2,8,1,1,C03,7,5,1,10,2,14,,85,85,1,12,4,C03,120.646345,24.171298,2
1802,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,46,臺中市,大里區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,4,4,9,4,5,1,13,7,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,13,4,C03,120.694861,24.091224,2
1803,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,48,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,14,49,,,,,B03,,,1,,1,,,49,,1,12,4,B03,120.720135,24.15654,3
1804,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,48,臺中市,大肚區,0,0,0,7,,,30,,,,,,,,,,,,,,,39,,,,,B03,,,1,,11,,,39,,1,13,4,B03,120.575895,24.158363,3
1805,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,55,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,12,84,,,,,B03,,,1,,2,,,84,,1,13,4,B03,120.685523,24.166801,3
1806,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,56,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,84,,,,,B03,,,1,,1,,,84,,1,13,4,B03,120.610281,24.169198,3
1807,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,56,臺中市,沙鹿區,0,1,0,7,2,6,40,13,8,1,5,4,6,6,4,4,2,4,4,1,13,8,2,9,2,1,C03,7,9,1,10,2,11,,8,8,1,6,4,C03,120.615443,24.243864,2
1808,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,58,臺中市,北區,0,2,0,7,2,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,15,2,9,2,1,C03,7,9,1,10,2,11,,15,15,1,12,4,C03,120.670027,24.167421,2
1809,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,17,58,臺中市,南屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,17,20,3,10,3,1,B03,7,5,1,8,1,16,,20,20,1,13,4,B03,120.653051,24.134946,2
1810,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,0,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,16,14,,,,,C03,,,1,,1,,,14,,1,13,4,C03,120.640891,24.138336,3
1811,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,0,臺中市,霧峰區,0,0,0,7,,,30,,,,,,,,,,,,,,,77,,,,,C03,,,1,,9,,,77,,1,13,4,C03,120.70028,24.066723,3
1812,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,2,臺中市,西區,0,0,0,8,,,40,,,,,,,,,,,,,,13,84,,,,,B03,,,1,,1,,,84,,1,12,4,B03,,,3
1813,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,2,臺中市,大甲區,0,1,0,7,2,6,50,13,8,1,5,4,6,6,4,4,10,5,5,2,17,20,3,10,3,1,B03,7,6,1,8,2,5,,20,20,1,12,4,B03,120.627481,24.350135,2
1814,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,4,臺中市,梧棲區,0,0,0,8,,,40,,,,,,,,,,,,,,13,7,,,,,B03,,,1,,1,,,7,,1,6,4,B03,120.526408,24.222505,3
1815,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,5,臺中市,南屯區,0,3,0,7,1,6,50,4,2,1,5,4,6,6,2,1,1,2,1,2,13,7,2,8,2,1,C03,7,12,1,10,1,11,,7,7,1,5,4,C03,120.633262,24.123785,2
1816,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,5,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,51,2,9,1,1,C03,7,1,1,10,2,12,,51,51,1,12,4,C03,120.688361,24.182285,2
1817,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,5,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,16,86,,,,,,,,,,,,,86,,1,,,,120.719321,24.133628,3
1818,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,6,臺中市,西屯區,0,0,0,8,,,1,,,,,,,,,,,,,,,49,,,,,B03,,,1,,1,,,49,,1,13,4,B03,120.657184,24.17039,3
1819,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,8,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,13,84,,,,,C03,,,1,,1,,,84,,1,6,4,C03,120.612347,24.190602,3
1820,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,8,臺中市,大里區,0,0,0,7,,,80,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,6,4,B03,120.690704,24.098029,3
1821,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,8,臺中市,太平區,0,1,0,7,2,6,50,5,1,1,5,4,6,6,2,1,1,2,5,2,16,47,3,10,3,1,B02,7,5,1,8,2,2,,47,47,1,12,4,B02,120.712648,24.145287,2
1822,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,10,臺中市,后里區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,12,4,B03,,,3
1823,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,11,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,1,,,7,,1,13,4,B03,120.615584,24.147094,3
1824,66000,387130000C,(04)23274275,(04)23288582,2023,7,5,18,11,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,86,,,,,B12,,,1,,1,,,86,,1,13,4,B12,120.685215,24.178595,3
